date,sold
2010-05-23,788
2010-05-24,804
2010-05-25,815
2010-05-26,797
2010-05-27,799
2010-05-28,784
2010-05-29,773
2010-05-30,798
2010-05-31,813
2010-06-01,818
2010-06-02,808
2010-06-03,812
2010-06-04,800
2010-06-05,781
2010-06-06,806
2010-06-07,800
2010-06-08,795
2010-06-09,811
2010-06-10,818
2010-06-11,801
2010-06-12,791
2010-06-13,799
2010-06-14,811
2010-06-15,820
2010-06-16,835
2010-06-17,808
2010-06-18,826
2010-06-19,810
2010-06-20,797
2010-06-21,814
2010-06-22,828
2010-06-23,851
2010-06-24,823
2010-06-25,835
2010-06-26,809
2010-06-27,799
2010-06-28,816
2010-06-29,822
2010-06-30,839
2010-07-01,822
2010-07-02,817
2010-07-03,817
2010-07-04,821
2010-07-05,836
2010-07-06,848
2010-07-07,846
2010-07-08,815
2010-07-09,814
2010-07-10,823
2010-07-11,832
2010-07-12,811
2010-07-13,840
2010-07-14,861
2010-07-15,839
2010-07-16,835
2010-07-17,834
2010-07-18,826
2010-07-19,837
2010-07-20,825
2010-07-21,840
2010-07-22,845
2010-07-23,824
2010-07-24,852
2010-07-25,830
2010-07-26,839
2010-07-27,847
2010-07-28,845
2010-07-29,843
2010-07-30,843
2010-07-31,829
2010-08-01,848
2010-08-02,845
2010-08-03,854
2010-08-04,852
2010-08-05,868
2010-08-06,848
2010-08-07,849
2010-08-08,856
2010-08-09,840
2010-08-10,852
2010-08-11,864
2010-08-12,869
2010-08-13,863
2010-08-14,838
2010-08-15,849
2010-08-16,868
2010-08-17,864
2010-08-18,868
2010-08-19,862
2010-08-20,866
2010-08-21,843
2010-08-22,850
2010-08-23,869
2010-08-24,846
2010-08-25,869
2010-08-26,867
2010-08-27,873
2010-08-28,863
2010-08-29,873
2010-08-30,875
2010-08-31,874
2010-09-01,875
2010-09-02,871
2010-09-03,857
2010-09-04,856
2010-09-05,857
2010-09-06,867
2010-09-07,869
2010-09-08,873
2010-09-09,878
2010-09-10,856
2010-09-11,846
2010-09-12,869
2010-09-13,870
2010-09-14,870
2010-09-15,874
2010-09-16,869
2010-09-17,877
2010-09-18,855
2010-09-19,830
2010-09-20,861
2010-09-21,875
2010-09-22,880
2010-09-23,896
2010-09-24,875
2010-09-25,858
2010-09-26,861
2010-09-27,880
2010-09-28,862
2010-09-29,882
2010-09-30,865
2010-10-01,862
2010-10-02,864
2010-10-03,855
2010-10-04,867
2010-10-05,880
2010-10-06,889
2010-10-07,879
2010-10-08,859
2010-10-09,858
2010-10-10,865
2010-10-11,865
2010-10-12,872
2010-10-13,884
2010-10-14,883
2010-10-15,880
2010-10-16,854
2010-10-17,863
2010-10-18,870
2010-10-19,853
2010-10-20,875
2010-10-21,868
2010-10-22,875
2010-10-23,881
2010-10-24,856
2010-10-25,882
2010-10-26,892
2010-10-27,885
2010-10-28,876
2010-10-29,861
2010-10-30,850
2010-10-31,865
2010-11-01,864
2010-11-02,873
2010-11-03,878
2010-11-04,869
2010-11-05,860
2010-11-06,844
2010-11-07,852
2010-11-08,887
2010-11-09,878
2010-11-10,871
2010-11-11,853
2010-11-12,860
2010-11-13,862
2010-11-14,871
2010-11-15,858
2010-11-16,874
2010-11-17,869
2010-11-18,844
2010-11-19,841
2010-11-20,855
2010-11-21,855
2010-11-22,876
2010-11-23,863
2010-11-24,875
2010-11-25,862
2010-11-26,853
2010-11-27,837
2010-11-28,863
2010-11-29,833
2010-11-30,869
2010-12-01,847
2010-12-02,854
2010-12-03,845
2010-12-04,845
2010-12-05,856
2010-12-06,862
2010-12-07,839
2010-12-08,861
2010-12-09,848
2010-12-10,838
2010-12-11,825
2010-12-12,832
2010-12-13,839
2010-12-14,849
2010-12-15,854
2010-12-16,853
2010-12-17,836
2010-12-18,832
2010-12-19,836
2010-12-20,842
2010-12-21,840
2010-12-22,836
2010-12-23,856
2010-12-24,827
2010-12-25,836
2010-12-26,823
2010-12-27,830
2010-12-28,854
2010-12-29,841
2010-12-30,839
2010-12-31,841
2011-01-01,844
2011-01-02,838
2011-01-03,836
2011-01-04,845
2011-01-05,838
2011-01-06,816
2011-01-07,829
2011-01-08,825
2011-01-09,818
2011-01-10,822
2011-01-11,856
2011-01-12,824
2011-01-13,828
2011-01-14,828
2011-01-15,804
2011-01-16,814
2011-01-17,828
2011-01-18,819
2011-01-19,818
2011-01-20,835
2011-01-21,822
2011-01-22,792
2011-01-23,808
2011-01-24,834
2011-01-25,808
2011-01-26,836
2011-01-27,821
2011-01-28,811
2011-01-29,790
2011-01-30,810
2011-01-31,811
2011-02-01,826
2011-02-02,822
2011-02-03,812
2011-02-04,820
2011-02-05,801
2011-02-06,809
2011-02-07,822
2011-02-08,813
2011-02-09,800
2011-02-10,822
2011-02-11,800
2011-02-12,806
2011-02-13,796
2011-02-14,799
2011-02-15,807
2011-02-16,805
2011-02-17,798
2011-02-18,803
2011-02-19,791
2011-02-20,815
2011-02-21,793
2011-02-22,825
2011-02-23,797
2011-02-24,806
2011-02-25,804
2011-02-26,802
2011-02-27,787
2011-02-28,793
2011-03-01,800
2011-03-02,802
2011-03-03,789
2011-03-04,798
2011-03-05,779
2011-03-06,790
2011-03-07,791
2011-03-08,805
2011-03-09,800
2011-03-10,811
2011-03-11,794
2011-03-12,780
2011-03-13,791
2011-03-14,806
2011-03-15,816
2011-03-16,810
2011-03-17,798
2011-03-18,792
2011-03-19,787
2011-03-20,793
2011-03-21,807
2011-03-22,789
2011-03-23,808
2011-03-24,780
2011-03-25,789
2011-03-26,782
2011-03-27,776
2011-03-28,795
2011-03-29,802
2011-03-30,814
2011-03-31,798
2011-04-01,797
2011-04-02,781
2011-04-03,785
2011-04-04,795
2011-04-05,798
2011-04-06,791
2011-04-07,802
2011-04-08,781
2011-04-09,773
2011-04-10,801
2011-04-11,779
2011-04-12,804
2011-04-13,839
2011-04-14,808
2011-04-15,787
2011-04-16,784
2011-04-17,794
2011-04-18,798
2011-04-19,807
2011-04-20,812
2011-04-21,802
2011-04-22,795
2011-04-23,785
2011-04-24,792
2011-04-25,791
2011-04-26,808
2011-04-27,805
2011-04-28,814
2011-04-29,790
2011-04-30,779
2011-05-01,799
2011-05-02,806
2011-05-03,822
2011-05-04,818
2011-05-05,795
2011-05-06,805
2011-05-07,798
2011-05-08,808
2011-05-09,818
2011-05-10,822
2011-05-11,807
2011-05-12,814
2011-05-13,792
2011-05-14,784
2011-05-15,809
2011-05-16,806
2011-05-17,838
2011-05-18,808
2011-05-19,840
2011-05-20,815
2011-05-21,823
2011-05-22,817
2011-05-23,820
2011-05-24,802
2011-05-25,824
2011-05-26,812
2011-05-27,792
2011-05-28,806
2011-05-29,804
2011-05-30,817
2011-05-31,817
2011-06-01,831
2011-06-02,808
2011-06-03,814
2011-06-04,818
2011-06-05,807
2011-06-06,820
2011-06-07,799
2011-06-08,819
2011-06-09,831
2011-06-10,822
2011-06-11,819
2011-06-12,821
2011-06-13,817
2011-06-14,840
2011-06-15,830
2011-06-16,837
2011-06-17,847
2011-06-18,819
2011-06-19,835
2011-06-20,830
2011-06-21,832
2011-06-22,848
2011-06-23,837
2011-06-24,838
2011-06-25,848
2011-06-26,831
2011-06-27,837
2011-06-28,850
2011-06-29,850
2011-06-30,847
2011-07-01,827
2011-07-02,826
2011-07-03,830
2011-07-04,856
2011-07-05,859
2011-07-06,866
2011-07-07,834
2011-07-08,851
2011-07-09,844
2011-07-10,865
2011-07-11,860
2011-07-12,856
2011-07-13,858
2011-07-14,859
2011-07-15,836
2011-07-16,832
2011-07-17,846
2011-07-18,862
2011-07-19,866
2011-07-20,867
2011-07-21,859
2011-07-22,864
2011-07-23,850
2011-07-24,846
2011-07-25,848
2011-07-26,862
2011-07-27,858
2011-07-28,858
2011-07-29,846
2011-07-30,867
2011-07-31,850
2011-08-01,860
2011-08-02,878
2011-08-03,860
2011-08-04,860
2011-08-05,884
2011-08-06,853
2011-08-07,869
2011-08-08,890
2011-08-09,883
2011-08-10,883
2011-08-11,898
2011-08-12,861
2011-08-13,848
2011-08-14,862
2011-08-15,867
2011-08-16,881
2011-08-17,877
2011-08-18,889
2011-08-19,880
2011-08-20,857
2011-08-21,880
2011-08-22,877
2011-08-23,860
2011-08-24,894
2011-08-25,866
2011-08-26,891
2011-08-27,873
2011-08-28,873
2011-08-29,890
2011-08-30,889
2011-08-31,900
2011-09-01,892
2011-09-02,876
2011-09-03,893
2011-09-04,855
2011-09-05,878
2011-09-06,880
2011-09-07,889
2011-09-08,890
2011-09-09,882
2011-09-10,892
2011-09-11,881
2011-09-12,895
2011-09-13,886
2011-09-14,887
2011-09-15,893
2011-09-16,884
2011-09-17,892
2011-09-18,877
2011-09-19,895
2011-09-20,895
2011-09-21,909
2011-09-22,891
2011-09-23,886
2011-09-24,893
2011-09-25,870
2011-09-26,895
2011-09-27,892
2011-09-28,890
2011-09-29,902
2011-09-30,883
2011-10-01,887
2011-10-02,901
2011-10-03,901
2011-10-04,921
2011-10-05,887
2011-10-06,875
2011-10-07,889
2011-10-08,894
2011-10-09,886
2011-10-10,864
2011-10-11,897
2011-10-12,896
2011-10-13,901
2011-10-14,871
2011-10-15,891
2011-10-16,868
2011-10-17,876
2011-10-18,868
2011-10-19,913
2011-10-20,867
2011-10-21,893
2011-10-22,878
2011-10-23,878
2011-10-24,900
2011-10-25,897
2011-10-26,899
2011-10-27,913
2011-10-28,896
2011-10-29,905
2011-10-30,868
2011-10-31,867
2011-11-01,891
2011-11-02,894
2011-11-03,889
2011-11-04,886
2011-11-05,878
2011-11-06,875
2011-11-07,887
2011-11-08,886
2011-11-09,895
2011-11-10,896
2011-11-11,854
2011-11-12,869
2011-11-13,880
2011-11-14,869
2011-11-15,901
2011-11-16,895
2011-11-17,885
2011-11-18,862
2011-11-19,861
2011-11-20,867
2011-11-21,884
2011-11-22,888
2011-11-23,898
2011-11-24,875
2011-11-25,859
2011-11-26,865
2011-11-27,852
2011-11-28,883
2011-11-29,867
2011-11-30,884
2011-12-01,882
2011-12-02,857
2011-12-03,850
2011-12-04,842
2011-12-05,867
2011-12-06,874
2011-12-07,873
2011-12-08,869
2011-12-09,858
2011-12-10,837
2011-12-11,850
2011-12-12,848
2011-12-13,864
2011-12-14,862
2011-12-15,853
2011-12-16,845
2011-12-17,843
2011-12-18,839
2011-12-19,861
2011-12-20,874
2011-12-21,857
2011-12-22,862
2011-12-23,861
2011-12-24,864
2011-12-25,836
2011-12-26,858
2011-12-27,851
2011-12-28,863
2011-12-29,852
2011-12-30,853
2011-12-31,828
2012-01-01,837
2012-01-02,853
2012-01-03,851
2012-01-04,849
2012-01-05,833
2012-01-06,841
2012-01-07,842
2012-01-08,845
2012-01-09,845
2012-01-10,847
2012-01-11,828
2012-01-12,858
2012-01-13,816
2012-01-14,825
2012-01-15,838
2012-01-16,843
2012-01-17,829
2012-01-18,845
2012-01-19,847
2012-01-20,835
2012-01-21,839
2012-01-22,828
2012-01-23,844
2012-01-24,832
2012-01-25,833
2012-01-26,839
2012-01-27,830
2012-01-28,832
2012-01-29,838
2012-01-30,804
2012-01-31,838
2012-02-01,817
2012-02-02,815
2012-02-03,810
2012-02-04,812
2012-02-05,815
2012-02-06,812
2012-02-07,841
2012-02-08,831
2012-02-09,811
2012-02-10,809
2012-02-11,810
2012-02-12,829
2012-02-13,811
2012-02-14,814
2012-02-15,849
2012-02-16,817
2012-02-17,809
2012-02-18,808
2012-02-19,804
2012-02-20,819
2012-02-21,821
2012-02-22,821
2012-02-23,819
2012-02-24,814
2012-02-25,781
2012-02-26,792
2012-02-27,817
2012-02-28,826
2012-02-29,804
2012-03-01,827
2012-03-02,799
2012-03-03,794
2012-03-04,798
2012-03-05,801
2012-03-06,817
2012-03-07,835
2012-03-08,809
2012-03-09,790
2012-03-10,809
2012-03-11,802
2012-03-12,816
2012-03-13,806
2012-03-14,820
2012-03-15,804
2012-03-16,799
2012-03-17,793
2012-03-18,803
2012-03-19,789
2012-03-20,798
2012-03-21,810
2012-03-22,805
2012-03-23,806
2012-03-24,779
2012-03-25,816
2012-03-26,815
2012-03-27,808
2012-03-28,826
2012-03-29,823
2012-03-30,782
2012-03-31,802
2012-04-01,814
2012-04-02,805
2012-04-03,811
2012-04-04,808
2012-04-05,815
2012-04-06,804
2012-04-07,797
2012-04-08,815
2012-04-09,802
2012-04-10,805
2012-04-11,834
2012-04-12,809
2012-04-13,801
2012-04-14,806
2012-04-15,804
2012-04-16,795
2012-04-17,826
2012-04-18,818
2012-04-19,812
2012-04-20,809
2012-04-21,794
2012-04-22,801
2012-04-23,815
2012-04-24,822
2012-04-25,812
2012-04-26,816
2012-04-27,807
2012-04-28,813
2012-04-29,810
2012-04-30,816
2012-05-01,826
2012-05-02,825
2012-05-03,804
2012-05-04,832
2012-05-05,804
2012-05-06,808
2012-05-07,815
2012-05-08,808
2012-05-09,818
2012-05-10,825
2012-05-11,813
2012-05-12,809
2012-05-13,817
2012-05-14,811
2012-05-15,820
2012-05-16,845
2012-05-17,817
2012-05-18,815
2012-05-19,804
2012-05-20,830
2012-05-21,826
2012-05-22,837
2012-05-23,829
2012-05-24,828
2012-05-25,822
2012-05-26,811
2012-05-27,803
2012-05-28,841
2012-05-29,843
2012-05-30,849
2012-05-31,819
2012-06-01,827
2012-06-02,827
2012-06-03,832
2012-06-04,846
2012-06-05,839
2012-06-06,858
2012-06-07,818
2012-06-08,837
2012-06-09,818
2012-06-10,837
2012-06-11,853
2012-06-12,837
2012-06-13,860
2012-06-14,843
2012-06-15,855
2012-06-16,840
2012-06-17,831
2012-06-18,844
2012-06-19,842
2012-06-20,859
2012-06-21,841
2012-06-22,838
2012-06-23,811
2012-06-24,832
2012-06-25,839
2012-06-26,867
2012-06-27,865
2012-06-28,857
2012-06-29,850
2012-06-30,853
2012-07-01,847
2012-07-02,869
2012-07-03,864
2012-07-04,857
2012-07-05,867
2012-07-06,853
2012-07-07,860
2012-07-08,866
2012-07-09,842
2012-07-10,865
2012-07-11,876
2012-07-12,848
2012-07-13,855
2012-07-14,847
2012-07-15,865
2012-07-16,854
2012-07-17,869
2012-07-18,861
2012-07-19,882
2012-07-20,867
2012-07-21,858
2012-07-22,847
2012-07-23,870
2012-07-24,882
2012-07-25,878
2012-07-26,876
2012-07-27,871
2012-07-28,847
2012-07-29,855
2012-07-30,864
2012-07-31,886
2012-08-01,884
2012-08-02,872
2012-08-03,860
2012-08-04,877
2012-08-05,870
2012-08-06,851
2012-08-07,872
2012-08-08,906
2012-08-09,885
2012-08-10,863
2012-08-11,888
2012-08-12,877
2012-08-13,893
2012-08-14,880
2012-08-15,910
2012-08-16,886
2012-08-17,878
2012-08-18,871
2012-08-19,876
2012-08-20,879
2012-08-21,912
2012-08-22,889
2012-08-23,901
2012-08-24,892
2012-08-25,877
2012-08-26,873
2012-08-27,889
2012-08-28,907
2012-08-29,904
2012-08-30,906
2012-08-31,899
2012-09-01,875
2012-09-02,886
2012-09-03,908
2012-09-04,878
2012-09-05,900
2012-09-06,899
2012-09-07,900
2012-09-08,891
2012-09-09,876
2012-09-10,892
2012-09-11,910
2012-09-12,918
2012-09-13,906
2012-09-14,887
2012-09-15,881
2012-09-16,883
2012-09-17,882
2012-09-18,896
2012-09-19,907
2012-09-20,914
2012-09-21,892
2012-09-22,892
2012-09-23,896
2012-09-24,900
2012-09-25,918
2012-09-26,915
2012-09-27,895
2012-09-28,868
2012-09-29,876
2012-09-30,895
2012-10-01,898
2012-10-02,909
2012-10-03,898
2012-10-04,911
2012-10-05,903
2012-10-06,899
2012-10-07,882
2012-10-08,886
2012-10-09,901
2012-10-10,894
2012-10-11,897
2012-10-12,879
2012-10-13,906
2012-10-14,881
2012-10-15,891
2012-10-16,889
2012-10-17,907
2012-10-18,910
2012-10-19,917
2012-10-20,876
2012-10-21,913
2012-10-22,907
2012-10-23,898
2012-10-24,896
2012-10-25,897
2012-10-26,895
2012-10-27,904
2012-10-28,882
2012-10-29,899
2012-10-30,899
2012-10-31,906
2012-11-01,896
2012-11-02,899
2012-11-03,881
2012-11-04,893
2012-11-05,881
2012-11-06,888
2012-11-07,907
2012-11-08,881
2012-11-09,892
2012-11-10,878
2012-11-11,867
2012-11-12,915
2012-11-13,877
2012-11-14,891
2012-11-15,883
2012-11-16,872
2012-11-17,885
2012-11-18,875
2012-11-19,875
2012-11-20,899
2012-11-21,891
2012-11-22,873
2012-11-23,875
2012-11-24,850
2012-11-25,875
2012-11-26,879
2012-11-27,897
2012-11-28,889
2012-11-29,872
2012-11-30,862
2012-12-01,874
2012-12-02,850
2012-12-03,876
2012-12-04,881
2012-12-05,905
2012-12-06,861
2012-12-07,864
2012-12-08,879
2012-12-09,866
2012-12-10,875
2012-12-11,878
2012-12-12,872
2012-12-13,862
2012-12-14,862
2012-12-15,869
2012-12-16,856
2012-12-17,858
2012-12-18,861
2012-12-19,853
2012-12-20,856
2012-12-21,861
2012-12-22,843
2012-12-23,854
2012-12-24,853
2012-12-25,853
2012-12-26,866
2012-12-27,889
2012-12-28,829
2012-12-29,834
2012-12-30,843
2012-12-31,852
2013-01-01,859
2013-01-02,886
2013-01-03,873
2013-01-04,847
2013-01-05,846
2013-01-06,865
2013-01-07,844
2013-01-08,855
2013-01-09,852
2013-01-10,837
2013-01-11,825
2013-01-12,831
2013-01-13,847
2013-01-14,847
2013-01-15,868
2013-01-16,858
2013-01-17,853
2013-01-18,837
2013-01-19,830
2013-01-20,834
2013-01-21,842
2013-01-22,840
2013-01-23,847
2013-01-24,837
2013-01-25,834
2013-01-26,820
2013-01-27,834
2013-01-28,848
2013-01-29,833
2013-01-30,848
2013-01-31,832
2013-02-01,831
2013-02-02,829
2013-02-03,829
2013-02-04,834
2013-02-05,827
2013-02-06,840
2013-02-07,823
2013-02-08,811
2013-02-09,811
2013-02-10,817
2013-02-11,833
2013-02-12,805
2013-02-13,834
2013-02-14,828
2013-02-15,833
2013-02-16,810
2013-02-17,827
2013-02-18,832
2013-02-19,824
2013-02-20,830
2013-02-21,815
2013-02-22,817
2013-02-23,803
2013-02-24,833
2013-02-25,797
2013-02-26,827
2013-02-27,838
2013-02-28,803
2013-03-01,822
2013-03-02,799
2013-03-03,800
2013-03-04,822
2013-03-05,828
2013-03-06,830
2013-03-07,831
2013-03-08,827
2013-03-09,796
2013-03-10,811
2013-03-11,819
2013-03-12,845
2013-03-13,823
2013-03-14,793
2013-03-15,795
2013-03-16,803
2013-03-17,799
2013-03-18,834
2013-03-19,806
2013-03-20,806
2013-03-21,807
2013-03-22,803
2013-03-23,779
2013-03-24,817
2013-03-25,804
2013-03-26,818
2013-03-27,813
2013-03-28,824
2013-03-29,811
2013-03-30,798
2013-03-31,795
2013-04-01,810
2013-04-02,797
2013-04-03,818
2013-04-04,814
2013-04-05,812
2013-04-06,804
2013-04-07,792
2013-04-08,829
2013-04-09,826
2013-04-10,815
2013-04-11,811
2013-04-12,813
2013-04-13,777
2013-04-14,802
2013-04-15,809
2013-04-16,823
2013-04-17,818
2013-04-18,804
2013-04-19,792
2013-04-20,802
2013-04-21,812
2013-04-22,818
2013-04-23,822
2013-04-24,823
2013-04-25,823
2013-04-26,804
2013-04-27,820
2013-04-28,783
2013-04-29,801
2013-04-30,809
2013-05-01,840
2013-05-02,837
2013-05-03,824
2013-05-04,820
2013-05-05,813
2013-05-06,814
2013-05-07,836
2013-05-08,834
2013-05-09,820
2013-05-10,825
2013-05-11,805
2013-05-12,813
2013-05-13,830
2013-05-14,827
2013-05-15,820
2013-05-16,819
2013-05-17,824
2013-05-18,805
2013-05-19,792
2013-05-20,838
2013-05-21,827
2013-05-22,827
2013-05-23,823
2013-05-24,807
2013-05-25,818
2013-05-26,820
2013-05-27,831
2013-05-28,820
2013-05-29,831
2013-05-30,844
2013-05-31,825
2013-06-01,811
2013-06-02,815
2013-06-03,825
2013-06-04,852
2013-06-05,839
2013-06-06,837
2013-06-07,821
2013-06-08,820
2013-06-09,851
2013-06-10,845
2013-06-11,845
2013-06-12,861
2013-06-13,843
2013-06-14,840
2013-06-15,833
2013-06-16,834
2013-06-17,842
2013-06-18,863
2013-06-19,858
2013-06-20,848
2013-06-21,851
2013-06-22,839
2013-06-23,845
2013-06-24,847
2013-06-25,854
2013-06-26,872
2013-06-27,850
2013-06-28,837
2013-06-29,838
2013-06-30,843
2013-07-01,868
2013-07-02,860
2013-07-03,857
2013-07-04,842
2013-07-05,868
2013-07-06,831
2013-07-07,864
2013-07-08,870
2013-07-09,858
2013-07-10,866
2013-07-11,863
2013-07-12,858
2013-07-13,848
2013-07-14,851
2013-07-15,863
2013-07-16,852
2013-07-17,867
2013-07-18,875
2013-07-19,866
2013-07-20,868
2013-07-21,854
2013-07-22,868
2013-07-23,887
2013-07-24,881
2013-07-25,855
2013-07-26,875
2013-07-27,861
2013-07-28,862
2013-07-29,861
2013-07-30,873
2013-07-31,885
2013-08-01,880
2013-08-02,884
2013-08-03,848
2013-08-04,851
2013-08-05,886
2013-08-06,870
2013-08-07,886
2013-08-08,900
2013-08-09,872
2013-08-10,895
2013-08-11,885
2013-08-12,881
2013-08-13,881
2013-08-14,895
2013-08-15,883
2013-08-16,877
2013-08-17,885
2013-08-18,884
2013-08-19,903
2013-08-20,890
2013-08-21,894
2013-08-22,906
2013-08-23,890
2013-08-24,872
2013-08-25,874
2013-08-26,881
2013-08-27,881
2013-08-28,888
2013-08-29,890
2013-08-30,872
2013-08-31,907
2013-09-01,882
2013-09-02,882
2013-09-03,903
2013-09-04,909
2013-09-05,895
2013-09-06,879
2013-09-07,903
2013-09-08,905
2013-09-09,895
2013-09-10,891
2013-09-11,907
2013-09-12,881
2013-09-13,907
2013-09-14,900
2013-09-15,896
2013-09-16,887
2013-09-17,915
2013-09-18,904
2013-09-19,897
2013-09-20,901
2013-09-21,884
2013-09-22,893
2013-09-23,897
2013-09-24,899
2013-09-25,883
2013-09-26,893
2013-09-27,906
2013-09-28,885
2013-09-29,925
2013-09-30,916
2013-10-01,903
2013-10-02,910
2013-10-03,931
2013-10-04,892
2013-10-05,888
2013-10-06,892
2013-10-07,901
2013-10-08,899
2013-10-09,901
2013-10-10,916
2013-10-11,896
2013-10-12,885
2013-10-13,896
2013-10-14,901
2013-10-15,898
2013-10-16,899
2013-10-17,902
2013-10-18,895
2013-10-19,905
2013-10-20,881
2013-10-21,891
2013-10-22,906
2013-10-23,908
2013-10-24,880
2013-10-25,895
2013-10-26,879
2013-10-27,897
2013-10-28,886
2013-10-29,897
2013-10-30,903
2013-10-31,899
2013-11-01,888
2013-11-02,882
2013-11-03,877
2013-11-04,885
2013-11-05,883
2013-11-06,914
2013-11-07,895
2013-11-08,871
2013-11-09,888
2013-11-10,867
2013-11-11,880
2013-11-12,893
2013-11-13,885
2013-11-14,888
2013-11-15,888
2013-11-16,860
2013-11-17,895
2013-11-18,892
2013-11-19,884
2013-11-20,911
2013-11-21,875
2013-11-22,890
2013-11-23,871
2013-11-24,895
2013-11-25,884
2013-11-26,884
2013-11-27,885
2013-11-28,881
2013-11-29,873
2013-11-30,867
2013-12-01,867
2013-12-02,870
2013-12-03,881
2013-12-04,885
2013-12-05,884
2013-12-06,872
2013-12-07,865
2013-12-08,862
2013-12-09,873
2013-12-10,878
2013-12-11,873
2013-12-12,883
2013-12-13,872
2013-12-14,853
2013-12-15,853
2013-12-16,861
2013-12-17,872
2013-12-18,864
2013-12-19,865
2013-12-20,865
2013-12-21,853
2013-12-22,858
2013-12-23,856
2013-12-24,857
2013-12-25,870
2013-12-26,845
2013-12-27,879
2013-12-28,840
2013-12-29,843
2013-12-30,853
2013-12-31,854
2014-01-01,855
2014-01-02,860
2014-01-03,848
2014-01-04,840
2014-01-05,830
2014-01-06,841
2014-01-07,857
2014-01-08,858
2014-01-09,837
2014-01-10,842
2014-01-11,815
2014-01-12,844
2014-01-13,841
2014-01-14,861
2014-01-15,856
2014-01-16,858
2014-01-17,835
2014-01-18,834
2014-01-19,827
2014-01-20,849
2014-01-21,847
2014-01-22,844
2014-01-23,854
2014-01-24,816
2014-01-25,840
2014-01-26,822
2014-01-27,836
2014-01-28,822
2014-01-29,843
2014-01-30,829
2014-01-31,818
2014-02-01,839
2014-02-02,812
2014-02-03,827
2014-02-04,841
2014-02-05,842
2014-02-06,819
2014-02-07,821
2014-02-08,838
2014-02-09,817
2014-02-10,845
2014-02-11,835
2014-02-12,838
2014-02-13,806
2014-02-14,817
2014-02-15,829
2014-02-16,813
2014-02-17,815
2014-02-18,824
2014-02-19,834
2014-02-20,815
2014-02-21,812
2014-02-22,804
2014-02-23,803
2014-02-24,836
2014-02-25,812
2014-02-26,833
2014-02-27,823
2014-02-28,826
2014-03-01,816
2014-03-02,810
2014-03-03,826
2014-03-04,818
2014-03-05,823
2014-03-06,811
2014-03-07,807
2014-03-08,812
2014-03-09,795
2014-03-10,829
2014-03-11,824
2014-03-12,837
2014-03-13,817
2014-03-14,805
2014-03-15,816
2014-03-16,819
2014-03-17,804
2014-03-18,820
2014-03-19,822
2014-03-20,814
2014-03-21,797
2014-03-22,792
2014-03-23,830
2014-03-24,823
2014-03-25,833
2014-03-26,802
2014-03-27,791
2014-03-28,821
2014-03-29,794
2014-03-30,815
2014-03-31,817
2014-04-01,824
2014-04-02,817
2014-04-03,825
